source,url,suggested_fix
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/openmethod,https://www.stage.boost.org/doc/libs/latest/libs/openmethod
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/asio/,https://www.stage.boost.org/doc/libs/latest/libs/asio/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/beast/,https://www.stage.boost.org/doc/libs/latest/libs/beast/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/bloom/,https://www.stage.boost.org/doc/libs/latest/libs/bloom/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/charconv/,https://www.stage.boost.org/doc/libs/latest/libs/charconv/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/compat/,https://www.stage.boost.org/doc/libs/latest/libs/compat/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/container/,https://www.stage.boost.org/doc/libs/latest/libs/container/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/conversion/,https://www.stage.boost.org/doc/libs/latest/libs/conversion/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/core/,https://www.stage.boost.org/doc/libs/latest/libs/core/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/dll/,https://www.stage.boost.org/doc/libs/latest/libs/dll/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/dynamic_bitset/,https://www.stage.boost.org/doc/libs/latest/libs/dynamic_bitset/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/filesystem/,https://www.stage.boost.org/doc/libs/latest/libs/filesystem/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/flyweight/,https://www.stage.boost.org/doc/libs/latest/libs/flyweight/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/geometry/,https://www.stage.boost.org/doc/libs/latest/libs/geometry/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/gil/,https://www.stage.boost.org/doc/libs/latest/libs/gil/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/interprocess/,https://www.stage.boost.org/doc/libs/latest/libs/interprocess/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/json/,https://www.stage.boost.org/doc/libs/latest/libs/json/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/lexical_cast/,https://www.stage.boost.org/doc/libs/latest/libs/lexical_cast/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/locale/,https://www.stage.boost.org/doc/libs/latest/libs/locale/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/log/,https://www.stage.boost.org/doc/libs/latest/libs/log/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/math/,https://www.stage.boost.org/doc/libs/latest/libs/math/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/mp11/,https://www.stage.boost.org/doc/libs/latest/libs/mp11/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/mqtt5/,https://www.stage.boost.org/doc/libs/latest/libs/mqtt5/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/msm/,https://www.stage.boost.org/doc/libs/latest/libs/msm/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/multiprecision/,https://www.stage.boost.org/doc/libs/latest/libs/multiprecision/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/mysql/,https://www.stage.boost.org/doc/libs/latest/libs/mysql/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/parser/,https://www.stage.boost.org/doc/libs/latest/libs/parser/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/pfr/,https://www.stage.boost.org/doc/libs/latest/libs/pfr/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/random/,https://www.stage.boost.org/doc/libs/latest/libs/random/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/redis/,https://www.stage.boost.org/doc/libs/latest/libs/redis/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/smart_ptr/,https://www.stage.boost.org/doc/libs/latest/libs/smart_ptr/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/stacktrace/,https://www.stage.boost.org/doc/libs/latest/libs/stacktrace/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/static_string/,https://www.stage.boost.org/doc/libs/latest/libs/static_string/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/stl_interfaces/,https://www.stage.boost.org/doc/libs/latest/libs/stl_interfaces/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/test/,https://www.stage.boost.org/doc/libs/latest/libs/test/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/type_index/,https://www.stage.boost.org/doc/libs/latest/libs/type_index/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/url/,https://www.stage.boost.org/doc/libs/latest/libs/url/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/uuid/,https://www.stage.boost.org/doc/libs/latest/libs/uuid/
https://www.stage.boost.org/releases/,https://www.stage.boost.org/libs/variant2/,https://www.stage.boost.org/doc/libs/latest/libs/variant2/
